epoch,test_acc,test_acc_channel_music,test_acc_channel_noise,test_acc_channel_telephone,test_acc_gender_female,test_acc_gender_male,test_acc_language_maninka,test_acc_language_pular,test_acc_language_susu,test_acc_speaker_count_multiple,test_acc_speaker_count_single,test_acc_utterance_multilingual,test_acc_utterance_verbal_nod,test_loss,test_n,test_n_channel_music,test_n_channel_noise,test_n_channel_telephone,test_n_gender_female,test_n_gender_male,test_n_language_maninka,test_n_language_pular,test_n_language_susu,test_n_speaker_count_multiple,test_n_speaker_count_single,test_n_utterance_multilingual,test_n_utterance_verbal_nod,train_acc,train_acc_channel_music,train_acc_channel_noise,train_acc_channel_telephone,train_acc_gender_female,train_acc_gender_male,train_acc_language_maninka,train_acc_language_pular,train_acc_language_susu,train_acc_speaker_count_multiple,train_acc_speaker_count_single,train_acc_utterance_multilingual,train_acc_utterance_verbal_nod,train_loss,train_n,train_n_channel_music,train_n_channel_noise,train_n_channel_telephone,train_n_gender_female,train_n_gender_male,train_n_language_maninka,train_n_language_pular,train_n_language_susu,train_n_speaker_count_multiple,train_n_speaker_count_single,train_n_utterance_multilingual,train_n_utterance_verbal_nod
1,0.3333333333333333,0.2222222222222222,0.7142857142857143,0.4,0.42857142857142855,0.3125,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.2222222222222222,1.4219914674758911,33,9,7,10,7,32,14,8,11,21,12,5,18,0.3333333333333333,0.5333333333333333,0.2857142857142857,0.29411764705882354,0.375,0.3469387755102041,0.0,0.0,1.0,0.35135135135135137,0.3076923076923077,0.1875,0.3,1.1700975894927979,51,15,14,17,8,49,14,20,17,37,13,16,30
2,0.3333333333333333,0.2222222222222222,0.7142857142857143,0.4,0.42857142857142855,0.3125,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.2222222222222222,1.4210984706878662,33,9,7,10,7,32,14,8,11,21,12,5,18,0.3333333333333333,0.5333333333333333,0.2857142857142857,0.29411764705882354,0.375,0.3469387755102041,0.0,0.0,1.0,0.35135135135135137,0.3076923076923077,0.1875,0.3,1.1675125360488892,51,15,14,17,8,49,14,20,17,37,13,16,30
3,0.3333333333333333,0.2222222222222222,0.7142857142857143,0.4,0.42857142857142855,0.3125,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.2222222222222222,1.4201610088348389,33,9,7,10,7,32,14,8,11,21,12,5,18,0.3333333333333333,0.5333333333333333,0.2857142857142857,0.29411764705882354,0.375,0.3469387755102041,0.0,0.0,1.0,0.35135135135135137,0.3076923076923077,0.1875,0.3,1.1638915538787842,51,15,14,17,8,49,14,20,17,37,13,16,30
4,0.3333333333333333,0.2222222222222222,0.7142857142857143,0.4,0.42857142857142855,0.3125,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.2222222222222222,1.419132947921753,33,9,7,10,7,32,14,8,11,21,12,5,18,0.3333333333333333,0.5333333333333333,0.2857142857142857,0.29411764705882354,0.375,0.3469387755102041,0.0,0.0,1.0,0.35135135135135137,0.3076923076923077,0.1875,0.3,1.1636875867843628,51,15,14,17,8,49,14,20,17,37,13,16,30
5,0.3333333333333333,0.2222222222222222,0.7142857142857143,0.4,0.42857142857142855,0.3125,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.2222222222222222,1.417986273765564,33,9,7,10,7,32,14,8,11,21,12,5,18,0.3333333333333333,0.5333333333333333,0.2857142857142857,0.29411764705882354,0.375,0.3469387755102041,0.0,0.0,1.0,0.35135135135135137,0.3076923076923077,0.1875,0.3,1.1635746955871582,51,15,14,17,8,49,14,20,17,37,13,16,30
6,0.3333333333333333,0.2222222222222222,0.7142857142857143,0.4,0.42857142857142855,0.3125,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.2222222222222222,1.4167944192886353,33,9,7,10,7,32,14,8,11,21,12,5,18,0.3333333333333333,0.5333333333333333,0.2857142857142857,0.29411764705882354,0.375,0.3469387755102041,0.0,0.0,1.0,0.35135135135135137,0.3076923076923077,0.1875,0.3,1.1611846685409546,51,15,14,17,8,49,14,20,17,37,13,16,30
7,0.3333333333333333,0.2222222222222222,0.7142857142857143,0.4,0.42857142857142855,0.3125,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.2222222222222222,1.4155869483947754,33,9,7,10,7,32,14,8,11,21,12,5,18,0.3333333333333333,0.5333333333333333,0.2857142857142857,0.29411764705882354,0.375,0.3469387755102041,0.0,0.0,1.0,0.35135135135135137,0.3076923076923077,0.1875,0.3,1.1609148979187012,51,15,14,17,8,49,14,20,17,37,13,16,30
8,0.3333333333333333,0.2222222222222222,0.7142857142857143,0.4,0.42857142857142855,0.3125,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.2222222222222222,1.414437174797058,33,9,7,10,7,32,14,8,11,21,12,5,18,0.3333333333333333,0.5333333333333333,0.2857142857142857,0.29411764705882354,0.375,0.3469387755102041,0.0,0.0,1.0,0.35135135135135137,0.3076923076923077,0.1875,0.3,1.1576409339904785,51,15,14,17,8,49,14,20,17,37,13,16,30
9,0.3333333333333333,0.2222222222222222,0.7142857142857143,0.4,0.42857142857142855,0.3125,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.2222222222222222,1.413379430770874,33,9,7,10,7,32,14,8,11,21,12,5,18,0.3333333333333333,0.5333333333333333,0.2857142857142857,0.29411764705882354,0.375,0.3469387755102041,0.0,0.0,1.0,0.35135135135135137,0.3076923076923077,0.1875,0.3,1.1561224460601807,51,15,14,17,8,49,14,20,17,37,13,16,30
10,0.3333333333333333,0.2222222222222222,0.7142857142857143,0.4,0.42857142857142855,0.3125,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.2222222222222222,1.412396788597107,33,9,7,10,7,32,14,8,11,21,12,5,18,0.3333333333333333,0.5333333333333333,0.2857142857142857,0.29411764705882354,0.375,0.3469387755102041,0.0,0.0,1.0,0.35135135135135137,0.3076923076923077,0.1875,0.3,1.157752275466919,51,15,14,17,8,49,14,20,17,37,13,16,30
