epoch,test_acc,test_acc_channel_music,test_acc_channel_noise,test_acc_channel_telephone,test_acc_gender_female,test_acc_gender_male,test_acc_language_maninka,test_acc_language_pular,test_acc_language_susu,test_acc_speaker_count_multiple,test_acc_speaker_count_single,test_acc_utterance_multilingual,test_acc_utterance_verbal_nod,test_loss,test_n,test_n_channel_music,test_n_channel_noise,test_n_channel_telephone,test_n_gender_female,test_n_gender_male,test_n_language_maninka,test_n_language_pular,test_n_language_susu,test_n_speaker_count_multiple,test_n_speaker_count_single,test_n_utterance_multilingual,test_n_utterance_verbal_nod,train_acc,train_acc_channel_music,train_acc_channel_noise,train_acc_channel_telephone,train_acc_gender_female,train_acc_gender_male,train_acc_language_maninka,train_acc_language_pular,train_acc_language_susu,train_acc_speaker_count_multiple,train_acc_speaker_count_single,train_acc_utterance_multilingual,train_acc_utterance_verbal_nod,train_loss,train_n,train_n_channel_music,train_n_channel_noise,train_n_channel_telephone,train_n_gender_female,train_n_gender_male,train_n_language_maninka,train_n_language_pular,train_n_language_susu,train_n_speaker_count_multiple,train_n_speaker_count_single,train_n_utterance_multilingual,train_n_utterance_verbal_nod
1,0.42424242424242425,0.6666666666666666,0.2857142857142857,0.6,0.5714285714285714,0.4375,1.0,0.0,0.0,0.47619047619047616,0.3333333333333333,0.0,0.4444444444444444,1.0906051397323608,33,9,7,10,7,32,14,8,11,21,12,5,18,0.29411764705882354,0.26666666666666666,0.21428571428571427,0.29411764705882354,0.375,0.30612244897959184,1.0,0.05,0.0,0.32432432432432434,0.23076923076923078,0.5,0.3,1.149993658065796,51,15,14,17,8,49,14,20,17,37,13,16,30
2,0.42424242424242425,0.6666666666666666,0.2857142857142857,0.6,0.5714285714285714,0.4375,1.0,0.0,0.0,0.47619047619047616,0.3333333333333333,0.0,0.4444444444444444,1.0908125638961792,33,9,7,10,7,32,14,8,11,21,12,5,18,0.29411764705882354,0.26666666666666666,0.21428571428571427,0.29411764705882354,0.375,0.30612244897959184,1.0,0.05,0.0,0.32432432432432434,0.23076923076923078,0.5,0.3,1.1514344215393066,51,15,14,17,8,49,14,20,17,37,13,16,30
3,0.42424242424242425,0.6666666666666666,0.2857142857142857,0.6,0.5714285714285714,0.4375,1.0,0.0,0.0,0.47619047619047616,0.3333333333333333,0.0,0.4444444444444444,1.0909069776535034,33,9,7,10,7,32,14,8,11,21,12,5,18,0.27450980392156865,0.26666666666666666,0.14285714285714285,0.23529411764705882,0.375,0.2857142857142857,1.0,0.0,0.0,0.2972972972972973,0.23076923076923078,0.4375,0.26666666666666666,1.1422926187515259,51,15,14,17,8,49,14,20,17,37,13,16,30
4,0.42424242424242425,0.6666666666666666,0.2857142857142857,0.6,0.5714285714285714,0.4375,1.0,0.0,0.0,0.47619047619047616,0.3333333333333333,0.0,0.4444444444444444,1.0910450220108032,33,9,7,10,7,32,14,8,11,21,12,5,18,0.23529411764705882,0.26666666666666666,0.07142857142857142,0.17647058823529413,0.5,0.24489795918367346,0.7857142857142857,0.05,0.0,0.21621621621621623,0.3076923076923077,0.375,0.26666666666666666,1.1301994323730469,51,15,14,17,8,49,14,20,17,37,13,16,30
5,0.42424242424242425,0.6666666666666666,0.2857142857142857,0.6,0.5714285714285714,0.4375,1.0,0.0,0.0,0.47619047619047616,0.3333333333333333,0.0,0.4444444444444444,1.0911502838134766,33,9,7,10,7,32,14,8,11,21,12,5,18,0.27450980392156865,0.3333333333333333,0.21428571428571427,0.29411764705882354,0.375,0.2857142857142857,0.9285714285714286,0.05,0.0,0.32432432432432434,0.15384615384615385,0.375,0.3,1.1192758083343506,51,15,14,17,8,49,14,20,17,37,13,16,30
6,0.42424242424242425,0.6666666666666666,0.2857142857142857,0.6,0.5714285714285714,0.4375,1.0,0.0,0.0,0.47619047619047616,0.3333333333333333,0.0,0.4444444444444444,1.0912445783615112,33,9,7,10,7,32,14,8,11,21,12,5,18,0.3137254901960784,0.26666666666666666,0.14285714285714285,0.23529411764705882,0.375,0.32653061224489793,1.0,0.1,0.0,0.32432432432432434,0.3076923076923077,0.5,0.26666666666666666,1.1071995496749878,51,15,14,17,8,49,14,20,17,37,13,16,30
7,0.42424242424242425,0.6666666666666666,0.2857142857142857,0.6,0.5714285714285714,0.4375,1.0,0.0,0.0,0.47619047619047616,0.3333333333333333,0.0,0.4444444444444444,1.0914069414138794,33,9,7,10,7,32,14,8,11,21,12,5,18,0.2549019607843137,0.26666666666666666,0.14285714285714285,0.23529411764705882,0.375,0.2653061224489796,0.9285714285714286,0.0,0.0,0.2702702702702703,0.23076923076923078,0.4375,0.23333333333333334,1.1407486200332642,51,15,14,17,8,49,14,20,17,37,13,16,30
8,0.42424242424242425,0.6666666666666666,0.2857142857142857,0.6,0.5714285714285714,0.4375,1.0,0.0,0.0,0.47619047619047616,0.3333333333333333,0.0,0.4444444444444444,1.0915993452072144,33,9,7,10,7,32,14,8,11,21,12,5,18,0.2549019607843137,0.2,0.14285714285714285,0.11764705882352941,0.25,0.2653061224489796,0.8571428571428571,0.05,0.0,0.24324324324324326,0.3076923076923077,0.375,0.2,1.1317400932312012,51,15,14,17,8,49,14,20,17,37,13,16,30
9,0.42424242424242425,0.6666666666666666,0.2857142857142857,0.6,0.5714285714285714,0.4375,1.0,0.0,0.0,0.47619047619047616,0.3333333333333333,0.0,0.4444444444444444,1.091794490814209,33,9,7,10,7,32,14,8,11,21,12,5,18,0.3333333333333333,0.26666666666666666,0.21428571428571427,0.35294117647058826,0.375,0.32653061224489793,1.0,0.15,0.0,0.32432432432432434,0.3076923076923077,0.5625,0.3333333333333333,1.1066279411315918,51,15,14,17,8,49,14,20,17,37,13,16,30
10,0.42424242424242425,0.6666666666666666,0.2857142857142857,0.6,0.5714285714285714,0.4375,1.0,0.0,0.0,0.47619047619047616,0.3333333333333333,0.0,0.4444444444444444,1.092017412185669,33,9,7,10,7,32,14,8,11,21,12,5,18,0.29411764705882354,0.2,0.21428571428571427,0.23529411764705882,0.375,0.30612244897959184,0.9285714285714286,0.05,0.058823529411764705,0.32432432432432434,0.23076923076923078,0.5,0.3333333333333333,1.1265867948532104,51,15,14,17,8,49,14,20,17,37,13,16,30
