epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.6523127595953,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,0.02102496714848883,0.0,4.576419849338703,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
2,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.635839616793244,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.01611831173147225,0.015952143569292122,0.015952143569292122,0.016450648055832504,0.04041666666666666,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.01669157947184853,0.01576263328697265,0.01452513966480447,0.02040816326530612,0.021243977222952255,0.0,4.575725582042934,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
3,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.6403910454103725,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.016782984380192757,0.016450648055832504,0.016450648055832504,0.01744765702891326,0.042083333333333334,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.01768809167912307,0.016689847009735744,0.015270018621973929,0.02040816326530612,0.022120017520805956,0.0,4.567701152726715,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
4,0.02478972996901284,0.025232403718459494,0.027888446215139442,0.021248339973439574,0.07738095238095238,0.0,0.0,0.0,0.006535947712418301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02696078431372549,0.02356202356202356,0.02112676056338028,0.022727272727272728,0.0582010582010582,0.029346622369878183,0.006622516556291391,4.600625546857708,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.036889332003988036,0.03838484546360917,0.03589232303090728,0.036390827517447655,0.09041666666666667,0.0,0.0,0.0,0.0046816479400749065,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0344311377245509,0.03811659192825112,0.03569772832637923,0.03314711359404097,0.047619047619047616,0.04862023653088042,0.0,4.533778810865581,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
5,0.03939796370075255,0.0398406374501992,0.034528552456839307,0.043824701195219126,0.08333333333333333,0.0,0.0,0.0,0.05392156862745098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04534313725490196,0.036036036036036036,0.04225352112676056,0.030303030303030304,0.0582010582010582,0.04595791805094131,0.013245033112582781,4.435524476529645,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.036058491193087405,0.03489531405782652,0.03290129611166501,0.04037886340977069,0.06916666666666667,0.0,0.0,0.0,0.047752808988764044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03842315369261477,0.03487792725460887,0.03245248029670839,0.03687150837988827,0.04081632653061224,0.04533508541392904,0.006887052341597796,4.3397191847309635,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
6,0.04028331119964586,0.03718459495351926,0.03187250996015936,0.05179282868525897,0.12351190476190477,0.0019157088122605363,0.0,0.0,0.011437908496732025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04656862745098039,0.036729036729036726,0.035211267605633804,0.04419191919191919,0.0582010582010582,0.047619047619047616,0.011037527593818985,4.222709692912378,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.04752409438351612,0.0448654037886341,0.04037886340977069,0.05732801595214357,0.11125,0.005420054200542005,0.0,0.0,0.014044943820224719,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04790419161676647,0.04733432984554061,0.0449698655540102,0.048044692737430165,0.05102040816326531,0.06219886114761279,0.0013774104683195593,4.159939168497113,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
7,0.06064630367419212,0.06108897742363878,0.0451527224435591,0.07569721115537849,0.12648809523809523,0.0019157088122605363,0.0,0.0,0.08333333333333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05514705882352941,0.06375606375606375,0.05555555555555555,0.06313131313131314,0.08465608465608465,0.07032115171650055,0.02207505518763797,4.129123507056842,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.05583250249252243,0.058325024925224324,0.045862412761714856,0.06331006979062812,0.10791666666666666,0.0013550135501355014,0.0,0.0,0.07116104868913857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05888223552894212,0.05430991529646238,0.05006954102920723,0.060335195530726256,0.05612244897959184,0.07030223390275953,0.010330578512396695,4.069784725413603,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
8,0.06241699867197875,0.0650730411686587,0.049136786188579015,0.07304116865869854,0.16517857142857142,0.0019157088122605363,0.007575757575757576,0.0,0.042483660130718956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06004901960784314,0.06375606375606375,0.0539906103286385,0.06691919191919192,0.10052910052910052,0.07198228128460686,0.024282560706401765,4.034349013451402,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.06414091060152875,0.06530408773678963,0.04885343968095713,0.07826520438683948,0.13583333333333333,0.005420054200542005,0.011458333333333333,0.002347417840375587,0.040262172284644196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07085828343313373,0.060787244643746886,0.05331478905887807,0.07188081936685288,0.0663265306122449,0.0821287779237845,0.007575757575757576,3.9662022842604996,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
9,0.07392651615759185,0.07835325365205843,0.05179282868525897,0.09163346613545817,0.14136904761904762,0.0038314176245210726,0.04292929292929293,0.0,0.08660130718954248,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0625,0.08038808038808039,0.06964006259780908,0.07449494949494949,0.10052910052910052,0.07862679955703211,0.05518763796909492,3.9539649831662933,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.0771020272515786,0.07976071784646062,0.05682951146560319,0.09471585244267199,0.14166666666666666,0.008130081300813009,0.03125,0.01056338028169014,0.07397003745318352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08782435129740519,0.07174887892376682,0.07324988409828466,0.08193668528864059,0.07312925170068027,0.09461235216819974,0.02203856749311295,3.8738851195437127,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
10,0.06418769366976539,0.05312084993359894,0.04780876494023904,0.09163346613545817,0.15922619047619047,0.0038314176245210726,0.030303030303030304,0.0,0.0392156862745098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06495098039215687,0.06375606375606375,0.06103286384976526,0.06691919191919192,0.07407407407407407,0.07308970099667775,0.02869757174392936,3.9706888051094236,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.07028913260219342,0.07128614157527417,0.0518444666001994,0.08773678963110668,0.14083333333333334,0.006775067750677507,0.035416666666666666,0.004694835680751174,0.03932584269662921,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07435129740518961,0.06826108619830593,0.06815020862308763,0.074487895716946,0.06462585034013606,0.086508979413053,0.01928374655647383,3.8914791473561086,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
