epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_lng_spoken_in_mothertongue__False,test_acc_lng_spoken_in_mothertongue__True,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_acc_spoken_in_mothertongue__False,test_acc_spoken_in_mothertongue__True,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,test_n_spoken_in_mothertongue__False,test_n_spoken_in_mothertongue__True,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_lng_spoken_in_mothertongue__False,train_acc_lng_spoken_in_mothertongue__True,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_acc_spoken_in_mothertongue__False,train_acc_spoken_in_mothertongue__True,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu,train_n_spoken_in_mothertongue__False,train_n_spoken_in_mothertongue__True
1,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.65337783523026,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,0.02102496714848883,0.0,4.576266500790597,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
2,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.636388068602327,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.015952143569292122,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016442451420029897,0.015299026425591099,0.01452513966480447,0.02040816326530612,0.02102496714848883,0.0,4.5761458909404595,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
3,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.644118404852811,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.016284479893652375,0.016450648055832504,0.015952143569292122,0.016450648055832504,0.04083333333333333,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.016940707523667164,0.015299026425591099,0.015270018621973929,0.02040816326530612,0.02146298729741568,0.0,4.570592929057878,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
4,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.01195219123505976,0.04017857142857143,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014705882352941176,0.010395010395010396,0.011737089201877934,0.011363636363636364,0.015873015873015872,0.014950166112956811,0.0,4.628714795764857,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.01611831173147225,0.016450648055832504,0.015952143569292122,0.015952143569292122,0.04041666666666666,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014970059880239521,0.01669157947184853,0.015299026425591099,0.01452513966480447,0.021258503401360544,0.021243977222952255,0.0,4.56298353474732,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
5,0.017706949977866312,0.01859229747675963,0.017264276228419653,0.017264276228419653,0.05952380952380952,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0196078431372549,0.016632016632016633,0.01564945226917058,0.01893939393939394,0.026455026455026454,0.0221483942414175,0.0,4.5550064012612745,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.023429710867397806,0.023928215353938187,0.023429710867397806,0.022931206380857428,0.05875,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.021457085828343315,0.024414549078226207,0.025961984237366714,0.01824953445065177,0.030612244897959183,0.03088042049934297,0.0,4.490721398629632,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
6,0.02611775121735281,0.02390438247011952,0.02257636122177955,0.03187250996015936,0.07142857142857142,0.0,0.027777777777777776,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03431372549019608,0.021483021483021482,0.028169014084507043,0.023989898989898988,0.021164021164021163,0.029900332225913623,0.011037527593818985,4.288567139860696,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.040877367896311065,0.04037886340977069,0.03838484546360917,0.04386839481555334,0.09625,0.0,0.015625,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03792415169660679,0.04235176880916791,0.034306907742234584,0.042458100558659215,0.04931972789115646,0.053219448094612355,0.002066115702479339,4.235403814597873,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
7,0.036741921204072596,0.035856573705179286,0.033200531208499334,0.041168658698539175,0.07886904761904762,0.04789272030651341,0.0,0.0,0.008169934640522876,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.03553921568627451,0.037422037422037424,0.0297339593114241,0.04671717171717172,0.042328042328042326,0.04595791805094131,0.0,4.14824923396691,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.0480225988700565,0.0448654037886341,0.04935194416749751,0.049850448654037885,0.10416666666666667,0.04878048780487805,0.0,0.0,0.0028089887640449437,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04141716566866267,0.05132037867463876,0.04172461752433936,0.04543761638733706,0.06547619047619048,0.06329391151992991,0.0,4.102972393853595,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
8,0.045595396193005754,0.0451527224435591,0.04249667994687915,0.049136786188579015,0.11160714285714286,0.038314176245210725,0.017676767676767676,0.0,0.0016339869281045752,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05392156862745098,0.040887040887040885,0.046948356807511735,0.04292929292929293,0.047619047619047616,0.05426356589147287,0.011037527593818985,4.082840864190806,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.05666334330342306,0.05583250249252243,0.05583250249252243,0.058325024925224324,0.12416666666666666,0.03523035230352303,0.013541666666666667,0.0,0.003745318352059925,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05239520958083832,0.05879422022919781,0.045433472415391744,0.05810055865921788,0.07397959183673469,0.07314936487078405,0.0048209366391184574,4.0231369084478334,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
9,0.04736609119079239,0.05179282868525897,0.03851261620185923,0.05179282868525897,0.09821428571428571,0.034482758620689655,0.0,0.0,0.03758169934640523,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04411764705882353,0.0492030492030492,0.04225352112676056,0.05303030303030303,0.0582010582010582,0.05813953488372093,0.004415011037527594,4.012407617792718,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.05898969757394483,0.05533399800598205,0.059322033898305086,0.06231306081754736,0.12625,0.02981029810298103,0.0,0.0,0.028089887640449437,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.056387225548902194,0.06028898854010962,0.05006954102920723,0.05698324022346369,0.07993197278911565,0.07665352606219886,0.003443526170798898,3.9405079845100115,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
10,0.05754758742806552,0.05312084993359894,0.055776892430278883,0.06374501992031872,0.14136904761904762,0.04597701149425287,0.005050505050505051,0.0,0.014705882352941176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.058823529411764705,0.05682605682605683,0.05242566510172144,0.06186868686868687,0.07407407407407407,0.07032115171650055,0.006622516556291391,3.9539159983330565,2259,753,753,753,672,522,396,57,612,816,1443,1278,792,189,1806,453,0.07095380525091392,0.06779661016949153,0.06879361914257229,0.07627118644067797,0.15333333333333332,0.051490514905149054,0.008333333333333333,0.0,0.012172284644194757,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06636726546906188,0.07324364723467862,0.056096430227167364,0.07188081936685288,0.09608843537414966,0.09264126149802891,0.0027548209366391185,3.872210151771249,6018,2006,2006,2006,2400,738,960,852,1068,2004,4014,2157,2685,1176,4566,1452
