epoch,test_acc,test_acc_channel_music,test_acc_channel_noise,test_acc_channel_telephone,test_acc_gender_female,test_acc_gender_male,test_acc_language_maninka,test_acc_language_pular,test_acc_language_susu,test_acc_speaker_count_multiple,test_acc_speaker_count_single,test_acc_utterance_multilingual,test_acc_utterance_verbal_nod,test_loss,test_n,test_n_channel_music,test_n_channel_noise,test_n_channel_telephone,test_n_gender_female,test_n_gender_male,test_n_language_maninka,test_n_language_pular,test_n_language_susu,test_n_speaker_count_multiple,test_n_speaker_count_single,test_n_utterance_multilingual,test_n_utterance_verbal_nod,train_acc,train_acc_channel_music,train_acc_channel_noise,train_acc_channel_telephone,train_acc_gender_female,train_acc_gender_male,train_acc_language_maninka,train_acc_language_pular,train_acc_language_susu,train_acc_speaker_count_multiple,train_acc_speaker_count_single,train_acc_utterance_multilingual,train_acc_utterance_verbal_nod,train_loss,train_n,train_n_channel_music,train_n_channel_noise,train_n_channel_telephone,train_n_gender_female,train_n_gender_male,train_n_language_maninka,train_n_language_pular,train_n_language_susu,train_n_speaker_count_multiple,train_n_speaker_count_single,train_n_utterance_multilingual,train_n_utterance_verbal_nod
1,0.3939393939393939,0.2222222222222222,0.42857142857142855,0.6666666666666666,0.5,0.3548387096774194,0.5833333333333334,0.42857142857142855,0.0,0.43478260869565216,0.2222222222222222,0.25,0.45,1.211524248123169,33,9,7,9,8,31,12,14,7,23,9,4,20,0.3137254901960784,0.26666666666666666,0.21428571428571427,0.2777777777777778,0.2857142857142857,0.32,0.625,0.42857142857142855,0.0,0.2571428571428571,0.4375,0.23529411764705882,0.25,2.136652708053589,51,15,14,18,7,50,16,14,21,35,16,17,28
2,0.3939393939393939,0.2222222222222222,0.42857142857142855,0.6666666666666666,0.5,0.3548387096774194,0.5833333333333334,0.42857142857142855,0.0,0.43478260869565216,0.2222222222222222,0.25,0.45,1.169716477394104,33,9,7,9,8,31,12,14,7,23,9,4,20,0.3137254901960784,0.2,0.21428571428571427,0.3888888888888889,0.0,0.32,0.625,0.42857142857142855,0.0,0.34285714285714286,0.25,0.47058823529411764,0.2857142857142857,1.726529836654663,51,15,14,18,7,50,16,14,21,35,16,17,28
3,0.3939393939393939,0.2222222222222222,0.42857142857142855,0.6666666666666666,0.5,0.3548387096774194,0.5833333333333334,0.42857142857142855,0.0,0.43478260869565216,0.2222222222222222,0.25,0.45,1.1369209289550781,33,9,7,9,8,31,12,14,7,23,9,4,20,0.3137254901960784,0.13333333333333333,0.21428571428571427,0.3333333333333333,0.14285714285714285,0.32,0.375,0.7142857142857143,0.0,0.3142857142857143,0.3125,0.35294117647058826,0.35714285714285715,1.7102575302124023,51,15,14,18,7,50,16,14,21,35,16,17,28
4,0.42424242424242425,0.2222222222222222,0.42857142857142855,0.6666666666666666,0.5,0.3870967741935484,0.5833333333333334,0.5,0.0,0.4782608695652174,0.2222222222222222,0.25,0.5,1.1115766763687134,33,9,7,9,8,31,12,14,7,23,9,4,20,0.21568627450980393,0.06666666666666667,0.14285714285714285,0.2222222222222222,0.0,0.22,0.3125,0.42857142857142855,0.0,0.2,0.25,0.17647058823529413,0.17857142857142858,1.541446328163147,51,15,14,18,7,50,16,14,21,35,16,17,28
5,0.42424242424242425,0.2222222222222222,0.42857142857142855,0.6666666666666666,0.5,0.3870967741935484,0.5833333333333334,0.5,0.0,0.4782608695652174,0.2222222222222222,0.25,0.5,1.0920186042785645,33,9,7,9,8,31,12,14,7,23,9,4,20,0.21568627450980393,0.06666666666666667,0.21428571428571427,0.2777777777777778,0.14285714285714285,0.22,0.25,0.5,0.0,0.2,0.25,0.29411764705882354,0.21428571428571427,1.5160809755325317,51,15,14,18,7,50,16,14,21,35,16,17,28
6,0.3939393939393939,0.2222222222222222,0.42857142857142855,0.6666666666666666,0.5,0.3548387096774194,0.5,0.5,0.0,0.43478260869565216,0.2222222222222222,0.25,0.45,1.0775890350341797,33,9,7,9,8,31,12,14,7,23,9,4,20,0.23529411764705882,0.06666666666666667,0.2857142857142857,0.2777777777777778,0.14285714285714285,0.24,0.125,0.7142857142857143,0.0,0.17142857142857143,0.375,0.23529411764705882,0.25,1.514296293258667,51,15,14,18,7,50,16,14,21,35,16,17,28
7,0.45454545454545453,0.2222222222222222,0.5714285714285714,0.6666666666666666,0.5,0.41935483870967744,0.5,0.6428571428571429,0.0,0.5217391304347826,0.2222222222222222,0.5,0.5,1.0668882131576538,33,9,7,9,8,31,12,14,7,23,9,4,20,0.27450980392156865,0.2,0.21428571428571427,0.2222222222222222,0.14285714285714285,0.28,0.25,0.7142857142857143,0.0,0.2,0.4375,0.35294117647058826,0.32142857142857145,1.5141273736953735,51,15,14,18,7,50,16,14,21,35,16,17,28
8,0.42424242424242425,0.2222222222222222,0.5714285714285714,0.6666666666666666,0.5,0.3870967741935484,0.4166666666666667,0.6428571428571429,0.0,0.5217391304347826,0.1111111111111111,0.5,0.5,1.059360146522522,33,9,7,9,8,31,12,14,7,23,9,4,20,0.29411764705882354,0.2,0.35714285714285715,0.16666666666666666,0.14285714285714285,0.3,0.25,0.7857142857142857,0.0,0.17142857142857143,0.5625,0.4117647058823529,0.2857142857142857,1.4007433652877808,51,15,14,18,7,50,16,14,21,35,16,17,28
9,0.3939393939393939,0.2222222222222222,0.5714285714285714,0.6666666666666666,0.5,0.3548387096774194,0.3333333333333333,0.6428571428571429,0.0,0.5217391304347826,0.0,0.5,0.45,1.054227590560913,33,9,7,9,8,31,12,14,7,23,9,4,20,0.37254901960784315,0.13333333333333333,0.35714285714285715,0.3333333333333333,0.14285714285714285,0.38,0.3125,1.0,0.0,0.3142857142857143,0.5,0.5294117647058824,0.5,1.298941969871521,51,15,14,18,7,50,16,14,21,35,16,17,28
10,0.48484848484848486,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.5,0.45161290322580644,0.3333333333333333,0.8571428571428571,0.0,0.5652173913043478,0.2222222222222222,0.75,0.5,1.050720453262329,33,9,7,9,8,31,12,14,7,23,9,4,20,0.23529411764705882,0.06666666666666667,0.2857142857142857,0.1111111111111111,0.14285714285714285,0.24,0.0625,0.7857142857142857,0.0,0.17142857142857143,0.375,0.35294117647058826,0.25,1.3948837518692017,51,15,14,18,7,50,16,14,21,35,16,17,28
